word,sentiment,category
unskilled,vices,concreteness
unviable,vices,concreteness
vulgar,vices,concreteness
wasteful,vices,concreteness
wise,vices,concreteness
worthless,vices,concreteness
aghast,vices,concreteness
altruistic,vices,concreteness
amused,vices,concreteness
ancestral,vices,concreteness
auspicious,vices,concreteness
austere,vices,concreteness
bigoted,vices,concreteness
blockheaded,vices,concreteness
circumstantial,vices,concreteness
complex,vices,concreteness
compulsory,vices,concreteness
conservative,vices,concreteness
contemporary,vices,concreteness
cowardly,vices,concreteness
crude,vices,concreteness
effortless,vices,concreteness
emasculated,vices,concreteness
empirical,vices,concreteness
erogenous,vices,concreteness
esteemed,vices,concreteness
evidential,vices,concreteness
exciting,vices,concreteness
exploitive,vices,concreteness
extreme,vices,concreteness
fallible,vices,concreteness
flabbergasted,vices,concreteness
garbled,vices,concreteness
generational,vices,concreteness
hectic,vices,concreteness
hypnotic,vices,concreteness
impassable,vices,concreteness
impolite,vices,concreteness
inadequate,vices,concreteness
inadmissible,vices,concreteness
incalculable,vices,concreteness
incongruous,vices,concreteness
infernal,vices,concreteness
interdependent,vices,concreteness
inventive,vices,concreteness
irrecoverable,vices,concreteness
irredeemable,vices,concreteness
kooky,vices,concreteness
lenient,vices,concreteness
lusty,vices,concreteness
maniacal,vices,concreteness
megalomaniacal,vices,concreteness
mellow,vices,concreteness
merciless,vices,concreteness
millennial,vices,concreteness
mortal,vices,concreteness
mysterious,vices,concreteness
naturalized,vices,concreteness
needless,vices,concreteness
nervy,vices,concreteness
newfangled,vices,concreteness
noncritical,vices,concreteness
overbearing,vices,concreteness
perverse,vices,concreteness
pompous,vices,concreteness
posttraumatic,vices,concreteness
problematical,vices,concreteness
punishable,vices,concreteness
queerer,vices,concreteness
rare,vices,concreteness
relational,vices,concreteness
retentive,vices,concreteness
revocable,vices,concreteness
scrupulous,vices,concreteness
simpler,vices,concreteness
sketchy,vices,concreteness
skilled,vices,concreteness
socialistic,vices,concreteness
soothing,vices,concreteness
spatial,vices,concreteness
storied,vices,concreteness
streetwise,vices,concreteness
tawdry,vices,concreteness
thickheaded,vices,concreteness
thoughtful,vices,concreteness
truculent,vices,concreteness
unacquainted,vices,concreteness
uncalculated,vices,concreteness
unconventional,vices,concreteness
undistinguished,vices,concreteness
unfunny,vices,concreteness
unifying,vices,concreteness
unmannerly,vices,concreteness
unmodified,vices,concreteness
unnoticeable,vices,concreteness
unpardonable,vices,concreteness
unproved,vices,concreteness
unrepentant,vices,concreteness
unscientific,vices,concreteness
unskillful,vices,concreteness
untainted,vices,concreteness
unthinking,vices,concreteness
untracked,vices,concreteness
unwary,vices,concreteness
unwelcomed,vices,concreteness
upcoming,vices,concreteness
uplifting,vices,concreteness
worsening,vices,concreteness
adventurous,vices,concreteness
glooming,vices,concreteness
peculiar,vices,concreteness
providential,vices,concreteness
acceptable,vices,concreteness
accursed,vices,concreteness
advisable,vices,concreteness
aforementioned,vices,concreteness
amateurish,vices,concreteness
answerable,vices,concreteness
